Variety,FLW,GY,PH,Subgroup
IR64,81.2,3.58,115.3,ind1B
IR72,98.5,5.09,84.6,ind1B
IR36,92.0,4.29,88.9,indx
IR42,88.0,4.77,129.4,ind
IR50,74.7,5.77,113.4,ind1B
IR8,74.7,4.12,80.5,ind1B
IR26,71.7,4.53,85.6,ind
IR661,96.0,5.39,116.5,ind1B
Swarna,88.0,4.07,80.3,ind
Ciherang,91.2,3.69,88.8,indx
Jaya,70.6,4.22,110.2,ind
TN1,99.1,3.9,118.1,ind
BPT5204,95.0,5.82,115.9,ind
MTU1010,76.4,5.52,92.3,ind1B
PSBRc18,75.5,5.08,119.2,ind
NSICRc222,75.5,5.68,93.0,ind
PusaBasmati1,79.1,5.51,97.9,ind1B
SambaMahsuri,85.7,3.97,121.1,ind
CO43,83.0,5.73,115.7,ind1B
ADT36,78.7,4.85,126.7,indx
GR11,88.4,5.52,116.2,ind
PR106,74.2,5.74,111.3,ind1B
KNM118,78.8,4.3,85.2,ind1B
WGL14,81.0,3.78,100.2,ind
Tellahamsa,83.7,4.07,94.6,ind
NLR34449,93.6,4.57,93.4,ind
IET1444,76.0,5.55,133.5,ind
MTU7029,85.4,5.65,101.6,ind
BPI76,87.8,3.52,129.1,indx
C463,71.4,4.78,114.7,indx
RiceVar_001,88.2,4.54,123.7,ind
RiceVar_002,75.1,4.06,107.6,ind1B
RiceVar_003,72.0,3.8,111.7,ind1B
RiceVar_004,98.5,4.34,107.1,ind
RiceVar_005,99.0,5.86,90.7,ind1B
RiceVar_006,94.3,4.31,119.7,ind1B
RiceVar_007,79.1,4.8,95.4,indx
RiceVar_008,72.9,5.26,81.3,ind1B
RiceVar_009,90.5,4.41,115.5,ind
RiceVar_010,83.2,5.93,89.7,ind1B
RiceVar_011,73.7,5.91,131.7,ind
RiceVar_012,84.9,4.13,132.5,ind
RiceVar_013,71.0,4.74,130.3,ind1B
RiceVar_014,97.3,4.25,100.4,indx
RiceVar_015,77.8,4.21,80.9,ind
RiceVar_016,89.9,3.59,131.1,ind1B
RiceVar_017,79.4,5.02,103.6,indx
RiceVar_018,85.6,4.76,133.2,ind1B
RiceVar_019,86.4,3.63,133.0,ind1B
RiceVar_020,75.5,4.2,126.9,ind
RiceVar_021,99.1,5.77,96.2,indx
RiceVar_022,93.3,4.1,101.2,indx
RiceVar_023,98.2,3.86,126.8,indx
RiceVar_024,96.8,4.72,97.4,ind1B
RiceVar_025,87.9,5.96,89.3,ind1B
RiceVar_026,97.7,4.11,110.6,ind1B
RiceVar_027,72.7,5.18,131.5,ind
RiceVar_028,75.9,5.4,118.3,ind
RiceVar_029,71.4,4.09,111.4,ind1B
RiceVar_030,79.8,5.32,85.3,ind1B
RiceVar_031,81.7,4.42,113.8,ind
RiceVar_032,78.1,5.08,134.5,indx
RiceVar_033,94.9,5.08,87.7,indx
RiceVar_034,80.7,4.84,108.5,ind1B
RiceVar_035,78.4,3.73,128.3,ind
RiceVar_036,86.3,5.59,120.7,ind
RiceVar_037,74.2,4.3,118.3,indx
RiceVar_038,94.1,3.97,118.6,ind1B
RiceVar_039,72.2,3.6,99.8,ind1B
RiceVar_040,99.6,4.98,96.1,ind
RiceVar_041,93.2,5.19,124.5,ind1B
RiceVar_042,76.0,3.54,124.6,ind
RiceVar_043,70.2,4.78,127.7,ind
RiceVar_044,94.5,4.07,130.2,ind
RiceVar_045,91.2,5.11,108.1,ind
RiceVar_046,91.9,3.94,107.6,ind
RiceVar_047,93.1,5.23,123.9,ind1B
RiceVar_048,72.2,4.47,115.7,ind1B
RiceVar_049,80.8,5.84,118.6,ind1B
RiceVar_050,73.5,3.84,123.8,ind
RiceVar_051,95.9,4.35,129.0,ind
RiceVar_052,88.7,3.78,98.6,ind1B
RiceVar_053,79.9,5.81,100.7,ind
RiceVar_054,71.9,5.69,85.2,ind1B
RiceVar_055,79.3,4.14,111.8,ind1B
RiceVar_056,79.8,5.15,82.0,ind
RiceVar_057,91.9,5.54,105.6,ind
RiceVar_058,89.1,4.89,109.8,ind1B
RiceVar_059,96.6,4.82,95.8,ind
RiceVar_060,84.2,4.1,112.5,ind
RiceVar_061,73.6,3.73,81.7,ind1B
RiceVar_062,91.4,5.74,82.1,ind
RiceVar_063,92.8,5.75,125.2,ind
RiceVar_064,86.8,5.08,99.8,ind1B
RiceVar_065,93.1,4.35,87.0,ind1B
RiceVar_066,84.8,4.37,108.7,ind
RiceVar_067,85.7,5.31,122.3,ind
RiceVar_068,82.8,5.74,91.9,ind
RiceVar_069,70.8,5.72,114.3,ind
RiceVar_070,73.2,5.45,84.7,ind
