Rank,Parent_1,Parent_2,Pred_FLW,Pred_PH,Avg_GY,Score
1,MTU1010,PR106,82.14,103.21,4.25,1.0842
2,TN1,PR106,79.81,99.18,4.20,1.0731
3,IR72,MTU1010,83.52,101.44,4.30,1.0619
4,TN1,MTU1010,81.95,100.87,4.15,1.0587
5,IR36,PR106,80.74,98.62,4.15,1.0531
6,TN1,SambaMahsuri,83.18,101.95,4.05,1.0498
7,IR72,PR106,81.89,99.74,4.45,1.0476
8,TN1,IR72,79.94,97.84,4.05,1.0443
9,IR36,MTU1010,82.58,100.21,4.00,1.0412
10,TN1,BPT5204,82.74,101.38,4.00,1.0398
11,IR64,PR106,82.91,100.74,4.30,1.0374
12,IR36,SambaMahsuri,83.91,102.14,4.15,1.0351
13,IR72,SambaMahsuri,84.18,103.01,4.35,1.0329
14,TN1,IR50,82.14,100.71,4.00,1.0308
15,IR36,IR72,80.94,97.84,4.20,1.0287
16,TN1,CO43,81.14,98.74,3.95,1.0264
17,PR106,MTU1010,83.74,102.58,4.25,1.0241
18,IR64,MTU1010,85.12,103.84,4.15,1.0218
19,TN1,Jaya,82.14,99.14,3.95,1.0197
20,IR36,IR50,83.01,101.24,4.15,1.0174
